업체명,업체주소,위도,경도
반석인테리어,서울특별시 관악구 난곡로11길 4 203호,,
(주)평천이앤씨,서울특별시 종로구 대학로 34 1층,,
(주)한울이엔아이,서울특별시 노원구 덕릉로124길 31 한올이엔아이,,
창호공장,경기도 하남시 이성로41번길 222-26 나동전체,,
(주)노나,경기도 시흥시 신천로 80 1~2호,,
153디자인,서울특별시 영등포구 디지털로 402 153디자인,,
(주)위아온디자인건축,서울특별시 성북구 월곡로14길 24 상가동 110호,,
인테리어&건식난방,서울특별시 도봉구 도봉로177길 25 장수빌라 지층,,
아세아종합건축,"서울특별시 강북구 노해로3길 17 그린타워 A동 201호, 302호",,
(주)현백종합건설,경기도 시흥시 삼미시장1길 9 2층,,
더나름디자인,서울특별시 도봉구 시루봉로 193 더나름빌딩 1층 101호,,
(주)화신종합건설,서울특별시 서대문구 거북골로18길 25 203호,,
(주)아트맥,서울특별시 양천구 목동동로12길 60 상가동 112호,,
(주)티앤디웍스,서울특별시 용산구 청파로57길 28-7 청일빌리지 B103호,,
야무진 집수리,서울특별시 용산구 소월로38길 19 지층,,
안심주택관리주식회사,서울특별시 은평구 통일로62길 7 서울시50플러스 서부캠퍼스 3층 스페이스 힘나,,
미림 누수탐지공사,서울특별시 서대문구 연희로41가길 34 지하1층,,
디자인뱅크,서울특별시 성북구 삼양로 72 1층,,
보미건축설비,서울특별시 성북구 정릉로36길 26 1층,,
삼영인테리어,서울특별시 양천구 목동동로12길 43 삼영인테리어,,
형제기업,서울특별시 강북구 한천로 1164 형제기업,,
(주)송림디앤씨,서울특별시 강동구 천중로 23 203호,,
소망종합공사,서울특별시 동작구 국사봉길 37 1층,,
일광건설,서울특별시 은평구 연서로2길 4 1층 101호,,
(주)코데,서울특별시 강서구 공항대로 186 806호,,
한양인테리어,서울특별시 은평구 응암로 279 상가 101호,,
빈티지타임즈,서울특별시 종로구 창경궁로16길 20-6 빈티지타임즈,,
(주)올리브엔제펫토,경기도 고양시 일산서구 강성로 147 302호,,
한신이엔지,서울특별시 강북구 노해로33나길 14 201호,,
스타인테리어,서울특별시 성북구 길음로9길 50 래미안9단지 상가동 122호,,
미래건축,서울특별시 도봉구 도당로13길 59 1층,,
삼정인테리어,서울특별시 구로구 오류로8길 83 1층,,
마메든,경기도 남양주시 화도읍 재재기로74번길 9-4 마메든,,
한양,경기도 광주시 순암로 172 한양,,
성진하우징,서울특별시 강서구 까치산로 6 201호,,
돌쇠ENG,서울특별시 강동구 풍성로 136 상가동 114호,,
(주)한맥콘텍,서울특별시 강남구 개포로25길 16 덕산빌딩 2층,,
인컴큐,서울특별시 마포구 모래내로7길 38 서원빌딩 4층 401-3호,,
다올인테리어,서울특별시 관악구 관악로 306 1층 19호,,
대한건축,서울특별시 중랑구 봉화산로 221 121호,,
명성건축설비,서울특별시 동대문구 회기로25길 59 1층,,
다움디자인,서울특별시 서초구 방배선행길 8 상가동 201호,,
(주)젤코바코리아,서울특별시 종로구 서순라길 69 (주)젤코바코리아,,
대한공사,서울특별시 강동구 올림픽로 732 1층 대한공사,,
유한회사 한흥,서울특별시 강서구 곰달래로 143-2 1층,,
하나로지붕공사,경기도 남양주시 진건읍 진건우회로 132-10 하나로지붕공사,,
(주)큐보이드디자인,서울특별시 서대문구 통일로 362 1층,,
동남인테리어,서울특별시 금천구 독산로50길 89 삼익상가 103호,,
아리별인테리어,서울특별시 금천구 독산로10길 12 101호,,
